,name,artist
0,Lemonade,Internet Money
1,Laugh Now Cry Later (feat. Lil Durk),Drake
2,24 (feat. Lil Baby),Money Man
3,Wolves (feat. Post Malone),Big Sean
4,For The Night (feat. Lil Baby & DaBaby),Pop Smoke
5,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow
6,WAP (feat. Megan Thee Stallion),Cardi B
7,DOLLAZ ON MY HEAD (feat. Young Thug),Gunna
8,GREECE (feat. Drake),DJ Khaled
9,Rags2Riches 2 (feat. Lil Baby),Rod Wave
10,Narrow Road (feat. Lil Baby),NLE Choppa
11,Blastoff (feat. Juice Wrld & Trippie Redd),Internet Money
12,Patek,Future
13,The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke
14,Prospect (ft. Lil Baby),iann dior
15,BLIND (feat. Young Thug),DaBaby
16,Vroom Vroom,A Boogie Wit da Hoodie
17,Martin & Gina,Polo G
18,Conversations,Juice WRLD
19,Need It,Migos
20,"Tap In (feat. Post Malone, DaBaby & Jack Harlow)",Saweetie
21,Got It On Me,Pop Smoke
22,Flex (feat. Juice WRLD),Polo G
23,Gifted (feat. Roddy Ricch),Cordae
24,RELENTLESS (feat. Lil Uzi Vert),Gunna
25,21,Polo G
26,The Bigger Picture,Lil Baby
27,Flood My Wrist (feat. Lil Uzi Vert),A Boogie Wit da Hoodie
28,Hate The Other Side (with Marshmello & The Kid Laroi),Juice WRLD
29,Kacey Talk,YoungBoy Never Broke Again
30,We Paid (feat. 42 Dugg),Lil Baby
31,The Voice,Lil Durk
32,Smile (with The Weeknd),Juice WRLD
33,Stuntin' On You (feat. DaBaby),Tyla Yaweh
34,POPSTAR (feat. Drake),DJ Khaled
35,Jump,Mark Ronson
36,Said Sum,Moneybagg Yo
37,Too Blessed,Rich The Kid
38,Expensive (feat. Nicki Minaj),Ty Dolla $ign
39,Muwop (feat. Gucci Mane),Mulatto
40,Bleed,A Boogie Wit da Hoodie
41,Lithuania (feat. Travis Scott),Big Sean
42,Pussy Talk,City Girls
43,Callin (feat. Snoop Dogg),YoungBoy Never Broke Again
44,Girls in the Hood,Megan Thee Stallion
45,Stay Ur Distance,Yo Gotti
46,No Sense (feat. Key Glock),Young Dolph
47,The Climb Back,J. Cole
48,Hatchback,Cochise
49,Down (feat. Mulatto),G-Eazy
